match_id,match_seq_num,radiant_win,start_time,duration,tower_status_radiant,tower_status_dire,barracks_status_radiant,barracks_status_dire,first_blood_time,positive_votes,negative_votes,radiant_score,dire_score
2305549419,2020364120,False,1461071778,2447,0,1974,0,63,4,0,0,,
2305582862,2020381019,False,1461072594,2067,0,2039,0,63,121,0,0,,
2305582675,2020367891,True,1461072610,1622,2047,4,63,3,130,0,0,56,18
2305572934,2020385488,False,1461072357,2532,0,1975,0,63,80,0,0,,
2305506627,2020377229,False,1461070641,3681,0,1540,0,55,53,0,0,44,57
2305569891,2020379742,False,1461072267,2121,0,2038,0,63,134,0,0,,
2305598003,2020378738,True,1461072972,1603,1974,6,63,3,320,0,0,,
2305565871,2020385097,False,1461072189,2621,4,1846,3,63,155,0,0,,
2305534996,2020378268,True,1461071416,3005,1926,0,51,0,110,0,0,,
2305571962,2020379495,False,1461072338,2258,0,1974,0,63,150,0,0,,
2305559937,2020383332,True,1461072042,2844,1846,0,63,0,131,0,0,,
2305578089,2020389767,True,1461072492,2586,1854,0,63,0,101,0,0,,
2305607300,2020384303,True,1461073220,1558,2047,0,63,0,2,0,0,,
